Table_0
Text,X Coordinate,Y Coordinate
0.05]B-,1382,2902
UNLESS,2604,2913
OTHERWISE,2686,2913
SPECIFIED,2807,2913
DIMENSIONS,2603,2941
ARE,2734,2941
IN,2786,2942
MILLIMETERS,2818,2941
375,3843,2925
Saxonburg,3900,2924
Boulevard,4054,2924
AND,2603,2970
PER,2652,2970
ASME,2699,2970
Y14.5-2009,2760,2970
DO,3077,2961
NOT,3113,2961
SCALE,3161,2961
DRAWING,3233,2961
TEV[!trranep,3424,2904
"Saxonburg,",3866,2954
PA,4036,2950
16056,4088,2954
TOLERANCES,2603,3000
ARE:,2734,3000
ANGLES,2717,3029
+,2799,3029
0.5°,2831,3025
TITLE,3404,3006
STEPPED,3583,3011
"MIRROR,",3743,3011
AL,3903,3012
PO/CX,3964,3011
B405718,2168,3040
stg,2599,3025
APPROVALS,3082,3045
DATE,3313,3045
FAO,2603,3060
0.8,2651,3060
um,2699,3065
ON,3005,3082
DAG.25mm,3535,3043
X,3733,3049
30mm,3773,3049
CT,3871,3049
R51,3933,3049
1mm,3998,3049
CX,4071,3049
THIRD,1785,3089
ANGLE,1857,3089
PROJECTION,1929,3089
C114798,2167,3084
NPC-0811,2399,3084
BREAK,2603,3087
ALL,2675,3088
EDGES,2723,3087
13,2798,3087
MAX,2843,3088
K.L.Y.,3077,3083
10-22-19,3287,3087
W/,3752,3087
PADS,3814,3086
NEXT,2158,3130
ASSY.,2237,3130
USED,2422,3130
ON,2500,3130
MATERIAL,2605,3124
CHK,3003,3129
K.A.P.,3077,3127
10-25-19,3287,3131
SIZE,3411,3130
|CAGE,3478,3130
CODE,3538,3130
DWG.,3730,3130
NO.,3790,3130
REV,4191,3130
I-VI,1184,3140
PROPRIETARY,1254,3139
INFORMATION,1476,3139
SEE,2728,3138
NOTE,2809,3138
|,2914,3139
C4057T7,3877,3145
THIS,1182,3179
DOCUMENT,1233,3179
IS,1335,3179
PROPERTY,1363,3179
OF,1460,3179
II-VI,1493,3180
INCORPORATED,1551,3179
APPLICATION,2261,3174
FINISH,2605,3190
APVD,3001,3168
K.A.P.,3077,3171
10-25-19,3287,3175
C,3425,3159
51128,3547,3158
A,4200,3162
AND,1157,3200
MAY,1202,3200
NOT,1247,3200
BE,1291,3200
USED,1322,3200
OR,1376,3200
REPRODUCED,1408,3200
WITHOUT,1528,3200
WRITTEN,1621,3200
INSENT,1359,3220
OF,1423,3220
OWNER.,1454,3220
NA,2809,3204
APVD,3003,3212
SCALE,3403,3206
SHEET,3953,3206
OF,4108,3206
MASS:,2245,3217
0.120,2342,3217
kg,2439,3218
2/,3496,3212
|,4056,3214
|,4190,3213
LLLGOVD,3966,3259
“ON,4114,3259
“OMG,4178,3259
