Table_0
Text,X,Y,Width,Height
0.05]B-,1382,2902,2,3
UNLESS,2604,2913,7,9
OTHERWISE,2686,2913,7,10
SPECIFIED,2807,2913,105,17
DIMENSIONS,2603,2941,7,9
ARE,2734,2941,7,10
IN,2786,2942,3,3
MILLIMETERS,2818,2941,105,17
375,3843,2925,45,20
Saxonburg,3900,2924,45,20
Boulevard,4054,2924,132,20
AND,2603,2970,17,11
PER,2652,2970,17,11
ASME,2699,2970,3,3
Y14.5-2009,2760,2970,3,3
DO,3077,2961,75,13
NOT,3113,2961,75,13
SCALE,3161,2961,75,13
DRAWING,3233,2961,3,3
TEV[!trranep,3424,2904,15,11
PA,4036,2950,92,27
16056,4088,2954,132,20
TOLERANCES,2603,3000,45,36
ARE:,2734,3000,3,3
ANGLES,2717,3029,21,12
+,2799,3029,12,46
0.5°,2831,3025,32,17
TITLE,3404,3006,54,16
STEPPED,3583,3011,93,26
AL,3903,3012,32,26
PO/CX,3964,3011,92,27
B405718,2168,3040,134,26
stg,2599,3025,45,36
APPROVALS,3082,3045,75,13
DATE,3313,3045,3,3
FAO,2603,3060,37,34
0.8,2651,3060,58,41
um,2699,3065,21,12
ON,3005,3082,8,11
DAG.25mm,3535,3043,14,24
X,3733,3049,11,26
30mm,3773,3049,74,26
CT,3871,3049,34,26
R51,3933,3049,46,26
1mm,3998,3049,49,25
CX,4071,3049,33,26
THIRD,1785,3089,56,16
ANGLE,1857,3089,18,12
PROJECTION,1929,3089,8,12
C114798,2167,3084,3,3
NPC-0811,2399,3084,12,22
BREAK,2603,3087,37,34
ALL,2675,3088,31,16
EDGES,2723,3087,56,17
13,2798,3087,29,17
MAX,2843,3088,32,15
K.L.Y.,3077,3083,106,26
10-22-19,3287,3087,95,18
W/,3752,3087,10,17
PADS,3814,3086,72,27
NEXT,2158,3130,87,17
ASSY.,2237,3130,87,17
USED,2422,3130,59,21
ON,2500,3130,10,17
MATERIAL,2605,3124,139,38
CHK,3003,3129,3,3
K.A.P.,3077,3127,4,3
10-25-19,3287,3131,95,18
SIZE,3411,3130,43,16
|CAGE,3478,3130,3,3
CODE,3538,3130,44,16
DWG.,3730,3130,8,10
NO.,3790,3130,3,3
REV,4191,3130,32,16
I-VI,1184,3140,47,23
PROPRIETARY,1254,3139,76,15
INFORMATION,1476,3139,3,15
SEE,2728,3138,52,26
NOTE,2809,3138,12,22
|,2914,3139,2,25
C4057T7,3877,3145,3,3
THIS,1182,3179,29,14
DOCUMENT,1233,3179,9,13
IS,1335,3179,3,3
PROPERTY,1363,3179,3,3
OF,1460,3179,3,15
II-VI,1493,3180,32,14
INCORPORATED,1551,3179,38,14
APPLICATION,2261,3174,12,6
FINISH,2605,3190,8,12
APVD,3001,3168,3,3
K.A.P.,3077,3171,26,26
10-25-19,3287,3175,95,18
C,3425,3159,13,26
51128,3547,3158,44,16
A,4200,3162,4,3
AND,1157,3200,19,13
MAY,1202,3200,30,11
NOT,1247,3200,9,13
BE,1291,3200,16,4
USED,1322,3200,3,3
OR,1376,3200,23,28
REPRODUCED,1408,3200,75,15
WITHOUT,1528,3200,32,14
WRITTEN,1621,3200,118,15
INSENT,1359,3220,23,28
OF,1423,3220,26,14
OWNER.,1454,3220,46,30
NA,2809,3204,28,22
APVD,3003,3212,3,3
SCALE,3403,3206,3,3
SHEET,3953,3206,56,16
OF,4108,3206,20,16
MASS:,2245,3217,12,6
0.120,2342,3217,74,22
kg,2439,3218,3,11
2/,3496,3212,30,26
|,4056,3214,2,25
|,4190,3213,1,25
LLLGOVD,3966,3259,56,16
“ON,4114,3259,10,16
“OMG,4178,3259,10,10
