Table_0
Text,X,Y,BBox_X,BBox_Y,Width,Height
0.05]B-,1382,2902,1406,2925,2,3
UNLESS,2604,2913,2604,2913,67,17
OTHERWISE,2686,2913,2686,2913,105,17
SPECIFIED,2807,2913,2807,2913,105,17
DIMENSIONS,2603,2941,2604,2913,67,17
ARE,2734,2941,2686,2913,105,17
IN,2786,2942,2734,3000,41,16
MILLIMETERS,2818,2941,2807,2913,105,17
375,3843,2925,3843,2924,46,21
Saxonburg,3900,2924,3843,2924,46,21
Boulevard,4054,2924,4054,2924,133,21
AND,2603,2970,2603,3000,115,16
PER,2652,2970,2603,3000,115,16
ASME,2699,2970,2734,3000,41,16
Y14.5-2009,2760,2970,2734,3000,41,16
DO,3077,2961,3082,3045,104,16
NOT,3113,2961,3082,3045,104,16
SCALE,3161,2961,3082,3045,104,16
DRAWING,3233,2961,3313,3045,43,17
TEV[!trranep,3424,2904,3487,2946,15,11
PA,4036,2950,3964,3011,92,27
16056,4088,2954,4054,2924,133,21
TOLERANCES,2603,3000,2595,3021,74,59
ARE:,2734,3000,2734,3000,41,16
ANGLES,2717,3029,2699,3065,21,12
+,2799,3029,2801,3024,12,46
0.5°,2831,3025,2831,3028,32,17
TITLE,3404,3006,3404,3006,54,16
STEPPED,3583,3011,3573,3049,93,26
AL,3903,3012,3903,3012,32,26
PO/CX,3964,3011,3964,3011,92,27
B405718,2168,3040,2168,3040,134,26
stg,2599,3025,2595,3021,74,59
APPROVALS,3082,3045,3082,3045,104,16
DATE,3313,3045,3313,3045,43,17
FAO,2603,3060,2603,3061,56,43
0.8,2651,3060,2625,3047,58,41
um,2699,3065,2699,3065,21,12
ON,3005,3082,3005,3082,20,17
DAG.25mm,3535,3043,3535,3043,26,38
X,3733,3049,3733,3049,11,26
30mm,3773,3049,3773,3049,74,26
CT,3871,3049,3871,3049,34,26
R51,3933,3049,3933,3049,46,26
1mm,3998,3049,3998,3049,49,25
CX,4071,3049,4071,3049,33,26
THIRD,1785,3089,1785,3089,56,16
ANGLE,1857,3089,1857,3089,55,16
PROJECTION,1929,3089,1929,3089,116,16
C114798,2167,3084,2167,3084,135,26
NPC-0811,2399,3084,2399,3084,127,26
BREAK,2603,3087,2603,3061,56,43
ALL,2675,3088,2675,3088,31,16
EDGES,2723,3087,2723,3087,56,17
13,2798,3087,2798,3087,29,17
MAX,2843,3088,2843,3088,32,15
K.L.Y.,3077,3083,3077,3083,106,26
10-22-19,3287,3087,3287,3087,95,18
W/,3752,3087,3752,3087,32,25
PADS,3814,3086,3814,3086,72,27
NEXT,2158,3130,2158,3130,149,21
ASSY.,2237,3130,2158,3130,149,21
USED,2422,3130,2422,3130,59,21
ON,2500,3130,2500,3130,28,21
MATERIAL,2605,3124,2544,3124,152,40
CHK,3003,3129,3003,3129,32,16
K.A.P.,3077,3127,3077,3127,106,26
10-25-19,3287,3131,3287,3131,95,18
SIZE,3411,3130,3411,3130,43,16
|CAGE,3478,3130,3478,3130,44,16
CODE,3538,3130,3538,3130,44,16
DWG.,3730,3130,3730,3130,40,16
NO.,3790,3130,3790,3130,28,16
REV,4191,3130,4191,3130,32,16
I-VI,1184,3140,1184,3139,47,24
PROPRIETARY,1254,3139,1233,3179,86,16
INFORMATION,1476,3139,1460,3179,17,16
SEE,2728,3138,2728,3138,52,26
NOTE,2809,3138,2809,3138,71,26
|,2914,3139,2914,3139,2,25
C4057T7,3877,3145,3877,3145,134,27
THIS,1182,3179,1182,3179,39,16
DOCUMENT,1233,3179,1247,3200,31,15
IS,1335,3179,1335,3179,15,16
PROPERTY,1363,3179,1335,3179,15,16
OF,1460,3179,1460,3179,17,16
II-VI,1493,3180,1493,3180,41,14
INCORPORATED,1551,3179,1545,3200,62,15
APPLICATION,2261,3174,2245,3217,71,22
FINISH,2605,3190,2605,3190,68,16
APVD,3001,3168,3001,3168,45,16
K.A.P.,3077,3171,3077,3171,26,26
10-25-19,3287,3175,3287,3175,95,18
C,3425,3159,3425,3159,13,26
51128,3547,3158,3538,3130,44,16
A,4200,3162,4200,3162,14,26
AND,1157,3200,1157,3200,31,15
MAY,1202,3200,1202,3200,33,15
NOT,1247,3200,1247,3200,31,15
BE,1291,3200,1291,3200,18,15
USED,1322,3200,1335,3179,15,16
OR,1376,3200,1373,3200,26,36
REPRODUCED,1408,3200,1363,3179,84,16
WITHOUT,1528,3200,1493,3180,41,14
WRITTEN,1621,3200,1551,3179,124,16
INSENT,1359,3220,1373,3200,26,36
OF,1423,3220,1420,3200,27,36
OWNER.,1454,3220,1457,3200,63,36
NA,2809,3204,2809,3204,33,26
APVD,3003,3212,3003,3212,45,16
SCALE,3403,3206,3403,3206,55,16
SHEET,3953,3206,3953,3206,56,16
OF,4108,3206,4108,3206,20,16
MASS:,2245,3217,2245,3217,71,22
0.120,2342,3217,2342,3217,74,22
kg,2439,3218,2439,3218,25,27
2/,3496,3212,3496,3212,30,26
|,4056,3214,4056,3214,2,25
|,4190,3213,4190,3213,1,25
LLLGOVD,3966,3259,3953,3206,56,16
“ON,4114,3259,4114,3259,38,22
“OMG,4178,3259,4178,3259,54,22
